strategy,pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,entry_order_amount,entry_order_price,entry_order_cost,entry_order_timestamp,exit_order_amount,exit_order_price,exit_order_cost,exit_order_timestamp,exit_order_tag
Strategy001,DOGE/USDT,9.84632,9.84632,44,2025-08-28 10:55:00+00:00,2025-09-07 22:40:00+00:00,0.22378,0.226468048,0.001,0.001,15105,0.00999001,0.0984632,roi,0.20141,-0.1,0.20141,-0.1,0.20476,0.22738,FALSE,,1,FALSE,2025/8/28 10:55,2025/9/7 22:40,0,44,0.22378,9.85616632,2025/8/28 10:55,44,0.226468048,9.974558708,2025/9/7 22:40,roi
Strategy001,DOGE/USDT,9.79039,9.79039,41,2025-09-09 06:15:00+00:00,2025-09-09 07:15:00+00:00,0.23879,0.241658348,0.001,0.001,60,0.00999001,0.0979039,roi,0.21492,-0.1,0.21492,-0.1,0.23854,0.24215,FALSE,,1,FALSE,2025/9/9 6:15,2025/9/9 7:15,0,41,0.23879,9.80018039,2025/9/9 6:15,41,0.241658348,9.917900275,2025/9/9 7:15,roi
Strategy001,DOGE/USDT,9.91134,9.91134,41,2025-09-09 19:20:00+00:00,2025-09-10 12:30:00+00:00,0.24174,0.244643784,0.001,0.001,1030,0.00999001,0.0991134,roi,0.21757,-0.1,0.21757,-0.1,0.23618,0.24526,FALSE,,1,FALSE,2025/9/9 19:20,2025/9/10 12:30,0,41,0.24174,9.92125134,2025/9/9 19:20,41,0.244643784,10.04042553,2025/9/10 12:30,roi
Strategy001,DOGE/USDT,10.004,10.004,40,2025-09-11 10:10:00+00:00,2025-09-11 12:25:00+00:00,0.2501,0.253104204,0.001,0.001,135,0.00999001,0.10004,roi,0.22509,-0.1,0.22509,-0.1,0.2499,0.25448,FALSE,,1,FALSE,2025/9/11 10:10,2025/9/11 12:25,0,40,0.2501,10.014004,2025/9/11 10:10,40,0.253104204,10.13429234,2025/9/11 12:25,roi
Strategy001,DOGE/USDT,10.0004,10.0004,40,2025-09-11 17:15:00+00:00,2025-09-11 21:55:00+00:00,0.25001,0.253013123,0.001,0.001,280,0.00999001,0.100004,roi,0.22501,-0.1,0.22501,-0.1,0.24918,0.25312,FALSE,,1,FALSE,2025/9/11 17:15,2025/9/11 21:55,0,40,0.25001,10.0104004,2025/9/11 17:15,40,0.253013123,10.13064545,2025/9/11 21:55,roi
Strategy001,DOGE/USDT,9.92826,9.92826,38,2025-09-12 11:35:00+00:00,2025-09-12 14:15:00+00:00,0.26127,0.264408378,0.001,0.001,160,0.00999001,0.0992826,roi,0.23515,-0.1,0.23515,-0.1,0.25788,0.2658,FALSE,,1,FALSE,2025/9/12 11:35,2025/9/12 14:15,0,38,0.26127,9.93818826,2025/9/12 11:35,38,0.264408378,10.0575659,2025/9/12 14:15,roi
Strategy001,DOGE/USDT,9.91406,9.91406,34,2025-09-13 21:30:00+00:00,2025-09-14 02:10:00+00:00,0.29159,0.295092583,0.001,0.001,280,0.00999001,0.0991406,roi,0.26244,-0.1,0.26244,-0.1,0.2815,0.2951,FALSE,,1,FALSE,2025/9/13 21:30,2025/9/14 2:10,0,34,0.29159,9.92397406,2025/9/13 21:30,34,0.295092583,10.04318096,2025/9/14 2:10,roi
Strategy001,DOGE/USDT,9.95282,9.95282,34,2025-09-14 02:20:00+00:00,2025-09-15 08:00:00+00:00,0.29273,0.26346,0.001,0.001,1780,-0.101787974,-1.01409046,stop_loss,0.26346,-0.1,0.26346,-0.1,0.26127,0.2941,FALSE,,1,FALSE,2025/9/14 2:20,2025/9/15 8:00,0,34,0.29273,9.96277282,2025/9/14 2:20,34,0.26346,8.96659764,2025/9/15 8:00,stop_loss
Strategy001,DOGE/USDT,9.8161,9.8161,37,2025-09-15 16:50:00+00:00,2025-09-15 21:45:00+00:00,0.2653,0.268486787,0.001,0.001,295,0.00999001,0.098161,roi,0.23877,-0.1,0.23877,-0.1,0.26287,0.26863,FALSE,,1,FALSE,2025/9/15 16:50,2025/9/15 21:45,0,37,0.2653,9.8259161,2025/9/15 16:50,37,0.268486787,9.943945122,2025/9/15 21:45,roi
Strategy001,DOGE/USDT,9.91304,9.91304,37,2025-09-16 03:50:00+00:00,2025-09-16 22:05:00+00:00,0.26792,0.271138258,0.001,0.001,1095,0.00999001,0.0991304,roi,0.24113,-0.1,0.24113,-0.1,0.257,0.27204,FALSE,,1,FALSE,2025/9/16 3:50,2025/9/16 22:05,0,37,0.26792,9.92295304,2025/9/16 3:50,37,0.271138258,10.04214767,2025/9/16 22:05,roi
Strategy001,DOGE/USDT,9.93302,9.93302,37,2025-09-17 06:50:00+00:00,2025-09-17 17:40:00+00:00,0.26846,0.271684745,0.001,0.001,650,0.00999001,0.0993302,roi,0.24162,-0.1,0.24162,-0.1,0.2624,0.2721,FALSE,,1,FALSE,2025/9/17 6:50,2025/9/17 17:40,0,37,0.26846,9.94295302,2025/9/17 6:50,37,0.271684745,10.06238789,2025/9/17 17:40,roi
Strategy001,DOGE/USDT,9.93191,9.93191,37,2025-09-17 19:25:00+00:00,2025-09-17 20:25:00+00:00,0.26843,0.27315,0.001,0.001,60,0.015550593,0.15460154,roi,0.24159,-0.1,0.24159,-0.1,0.26843,0.27489,FALSE,,1,FALSE,2025/9/17 19:25,2025/9/17 20:25,0,37,0.26843,9.94184191,2025/9/17 19:25,37,0.27315,10.11665655,2025/9/17 20:25,roi
策略名称,交易对,每一笔的下注金额,策略允许的最大下注金额,交易数量,交易开始时间,交易结束时间,开盘价,收盘价,开盘手续费,收盘手续费,交易持续时间,利润比率,绝对利润,退出原因，roi表示达到预定的汇报值则退出,,,,,,,,,,,,,,,,,,,,,,
